0	6 	0 	12	0	1
1	6	1	12	1	1
2	6 	2   	12	2	1
3	6 	3 	12	3	1
4 	  6	4 	12	4	1	
5 	6	5 	12	5	1
6 	6	6 	12	6	1
7 	6	7 	12	7	1
8 	7	0 	12	8	1
9 	7	1	12	9	1
10 	7	2 	12	10	1
11 	7	3 	12	11	1
12 	7	4 	12	12	1
13 	7	5 	12	13	1	
14 	7	6 	12	14	1
15 	7	7 	12	15	1
16 	8	0 	12	16	1
17 	8	1 	12	17	1
18 	8	2 	12	18	1
19 	8	3 	12	19	1
20 	8	4 	12	20	1
21 	8	5 	12	21	1
22 	8	6 	13	4	1	
23 	8	7 	13	5	1
24 	9	0 	12   	24	1
25 	9	1  	12	25	1
26 	9	2  	12	26	1
27 	9	3  	12   	27	1
28 	9	4  	12   	28	1
29 	9	5  	12   	29	1
30 	9 	6  	12   	30	1
31 	9	7  	12   	31	1
32 	10	0 	13	0	1
33 	10	1  	13	1	1
34 	10   	2	13	2	1
35 	10	3  	13	3	0
37 	13	5  	10	5	0
38 	13	6  	10	6	0
39 	13	7  	10	7	0
40 	14	0  	10	8	0
41 	14	1  	10	9	0
42 	14	2  	10	10	0
43 	14	3  	10	11	0
44 	14	4  	10	12	0
45 	14	5  	10	13	0
46 	14	6  	10	14	0
47 	14	7  	10	15	0
48 	15	0  	10	16	0
49 	15	1  	10	17	0
50 	15	2  	10	18	0
51 	15	3  	10	19	0
52 	15	4  	10	20	0
53 	15	5  	10	21	0
54 	15	6  	10	22	0
55 	15	7  	10	23	0
56 	16	0  	10	24	0
57 	16	1  	10	25	0
58 	16	2  	10	26	0
59 	16	3  	10	27	0
60 	16	4  	10	28	0
61 	16	5  	10	29	0
62 	16	6  	10	30	0
63 	16	7  	10	31	0

#
#Additional channels
#50  10  10  12   5   0
#51  10  11  12   6   0


